model,group,run,n_active,n_rr_final,n_rh_final,R_R_final,R_H_final,H_norm_k4_final,EHE_k4_final
ministral3_8b,Group_B,Run_1,948,0,95,0.0,0.10021097046413502,0.6269211623625475,0.564096784277693
ministral3_8b,Group_B,Run_2,923,0,92,0.0,0.09967497291440953,0.6180106864727665,0.5564104880377778
ministral3_8b,Group_B,Run_3,939,0,93,0.0,0.09904153354632587,0.6330223462399719,0.5703268422992718
ministral3_8b,Group_C,Run_1,815,0,94,0.0,0.11533742331288344,0.6232029181158675,0.5513242993393135
ministral3_8b,Group_C,Run_2,838,0,94,0.0,0.11217183770883055,0.6542157678847755,0.5808311829430466
ministral3_8b,Group_C,Run_3,859,0,93,0.0,0.10826542491268917,0.5957640382884375,0.5312633915354402
ministral3_14b,Group_A,Run_1,973,129,775,0.13257965056526208,0.7965056526207606,0.4804725944397028,0.09777345703911731
ministral3_14b,Group_A,Run_2,965,117,764,0.12124352331606218,0.7917098445595855,0.4960226871071094,0.10331664259951191
ministral3_14b,Group_A,Run_3,968,139,807,0.14359504132231404,0.8336776859504132,0.4273448834511461,0.07107698991284557
ministral3_14b,Group_B,Run_1,889,0,96,0.0,0.10798650168728909,0.695087929329957,0.6200278154765533
ministral3_14b,Group_B,Run_2,829,0,95,0.0,0.11459589867310012,0.7171481396723814,0.634965904124883
ministral3_14b,Group_B,Run_3,877,0,95,0.0,0.10832383124287344,0.7119946834360625,0.6348686915017113
ministral3_14b,Group_C,Run_1,927,0,95,0.0,0.10248112189859762,0.7124885393208636,0.6394719144713684
ministral3_14b,Group_C,Run_2,913,0,95,0.0,0.10405257393209201,0.6859092552959805,0.6145386317985893
ministral3_14b,Group_C,Run_3,930,0,94,0.0,0.1010752688172043,0.7011746294946491,0.6303032153306739
