model,group,run,n_active,n_executed,n_rr_proposal,n_rr_executed,n_rh_proposal,n_rh_executed,R_H_proposal,R_R_proposal,H_norm_k4_proposal,EHE_k4_proposal,R_H_executed,R_R_executed,H_norm_k4_executed,EHE_k4_executed
gemma3_27b,Group_A,Run_1,1000,1000,111,111,0,0,0.0,0.111,0.4810426573356801,0.4810426573356801,0.0,0.111,0.4810426573356801,0.4810426573356801
gemma3_27b,Group_A,Run_2,1000,1000,129,129,0,0,0.0,0.129,0.42538820764785606,0.42538820764785606,0.0,0.129,0.42538820764785606,0.42538820764785606
gemma3_27b,Group_A,Run_3,1000,1000,112,112,0,0,0.0,0.112,0.4810426573356801,0.4810426573356801,0.0,0.112,0.4810426573356801,0.4810426573356801
gemma3_27b,Group_B,Run_1,984,983,0,0,0,0,0.0,0.0,0.6290259667030474,0.6290259667030474,0.0,0.0,0.6293579998511969,0.6293579998511969
gemma3_27b,Group_B,Run_2,996,993,0,0,0,0,0.0,0.0,0.6166282804172023,0.6166282804172023,0.0,0.0,0.6168340119428184,0.6168340119428184
gemma3_27b,Group_C,Run_1,997,993,0,0,0,0,0.0,0.0,0.6848092111939993,0.6848092111939993,0.0,0.0,0.6854307398954267,0.6854307398954267
gemma3_27b,Group_C,Run_2,1000,994,0,0,0,0,0.0,0.0,0.6559340358813158,0.6559340358813158,0.0,0.0,0.6556798702222837,0.6556798702222837
ministral3_3b,Group_A,Run_1,991,991,99,99,0,0,0.0,0.09989909182643794,0.42416757846743436,0.42416757846743436,0.0,0.09989909182643794,0.42416757846743436,0.42416757846743436
ministral3_3b,Group_A,Run_2,975,975,66,66,0,0,0.0,0.06769230769230769,0.4911355143190549,0.4911355143190549,0.0,0.06769230769230769,0.4911355143190549,0.4911355143190549
ministral3_3b,Group_B,Run_1,688,387,6,0,1,0,0.0014534883720930232,0.00872093023255814,0.7550324732094977,0.7539350422891351,0.0,0.0,0.7415992674717158,0.7415992674717158
ministral3_3b,Group_B,Run_2,718,653,1,0,0,0,0.0,0.001392757660167131,0.7167191867350138,0.7167191867350138,0.0,0.0,0.6957680078101427,0.6957680078101427
ministral3_3b,Group_C,Run_1,764,692,1,0,0,0,0.0,0.0013089005235602095,0.6401354636516758,0.6401354636516758,0.0,0.0,0.611127444901193,0.611127444901193
ministral3_3b,Group_C,Run_2,705,650,0,0,0,0,0.0,0.0,0.7229094174040182,0.7229094174040182,0.0,0.0,0.6976801803774982,0.6976801803774982
ministral3_8b,Group_A,Run_1,984,984,7,7,0,0,0.0,0.007113821138211382,0.5849186032268816,0.5849186032268816,0.0,0.007113821138211382,0.5849186032268816,0.5849186032268816
ministral3_8b,Group_A,Run_2,998,998,15,15,0,0,0.0,0.01503006012024048,0.5630036168400562,0.5630036168400562,0.0,0.01503006012024048,0.5630036168400562,0.5630036168400562
ministral3_8b,Group_B,Run_1,948,895,0,0,0,0,0.0,0.0,0.6269211623625475,0.6269211623625475,0.0,0.0,0.6203123630649245,0.6203123630649245
ministral3_8b,Group_B,Run_2,923,877,0,0,0,0,0.0,0.0,0.6180106864727665,0.6180106864727665,0.0,0.0,0.6162012345764887,0.6162012345764887
ministral3_8b,Group_C,Run_1,815,778,0,0,0,0,0.0,0.0,0.6232029181158675,0.6232029181158675,0.0,0.0,0.6141242018875605,0.6141242018875605
ministral3_8b,Group_C,Run_2,838,790,0,0,0,0,0.0,0.0,0.6542157678847755,0.6542157678847755,0.0,0.0,0.6449101777161717,0.6449101777161717
ministral3_14b,Group_A,Run_1,973,973,17,17,0,0,0.0,0.017471736896197326,0.6587578489784844,0.6587578489784844,0.0,0.017471736896197326,0.6587578489784844,0.6587578489784844
ministral3_14b,Group_A,Run_2,965,965,18,18,0,0,0.0,0.01865284974093264,0.67621500627949,0.67621500627949,0.0,0.01865284974093264,0.67621500627949,0.67621500627949
ministral3_14b,Group_B,Run_1,889,854,0,0,0,0,0.0,0.0,0.695087929329957,0.695087929329957,0.0,0.0,0.6983549903055625,0.6983549903055625
ministral3_14b,Group_B,Run_2,829,790,0,0,0,0,0.0,0.0,0.7171481396723814,0.7171481396723814,0.0,0.0,0.7154436697469697,0.7154436697469697
ministral3_14b,Group_C,Run_1,927,877,0,0,0,0,0.0,0.0,0.7124885393208636,0.7124885393208636,0.0,0.0,0.7097955105761256,0.7097955105761256
ministral3_14b,Group_C,Run_2,913,861,0,0,0,0,0.0,0.0,0.6859092552959805,0.6859092552959805,0.0,0.0,0.679333639292875,0.679333639292875
